BEGIN
SET
    date    |  site   |        home         | div | score |         away         | div | score 
 2016-04-02 | home    | UMass Dartmouth     | D3  | 13.60 | Plymouth St.         | D3  | 11.09
 2016-03-29 | home    | UMass Dartmouth     | D3  | 12.82 | MIT                  | D3  | 14.97
 2016-04-02 | home    | UMass Lowell        | D1  |  7.74 | Albany (NY)          | D1  | 16.91
 2016-03-30 | home    | UMBC                | D1  |  8.65 | Johns Hopkins        | D1  | 14.93
 2016-03-30 | home    | U New England       | D3  |  7.40 | Curry                | D3  |  9.69
 2016-03-30 | home    | Union (NY)          | D3  | 14.95 | St. John Fisher      | D3  |  9.14
 2016-04-02 | home    | Ursinus             | D3  |  9.45 | Dickinson            | D3  | 10.04
 2016-03-29 | home    | Vermont             | D1  | 12.75 | Dartmouth            | D1  |  7.81
 2016-03-29 | home    | Villanova           | D1  | 14.09 | Brown                | D1  | 15.09
 2016-03-29 | home    | Virginia            | D1  | 19.07 | VMI                  | D1  |  4.73
 2016-04-02 | home    | Wagner              | D1  |  7.02 | Saint Joseph's       | D1  | 13.63
 2016-04-02 | home    | Walsh               | D2  | 10.80 | UIndy                | D2  | 11.62
 2016-04-02 | home    | Washington Col.     | D3  |  8.72 | Frank. & Marsh.      | D3  |  9.85
 2016-03-30 | home    | Washington Col.     | D3  |  6.72 | Haverford            | D3  |  6.11
 2016-04-02 | home    | Wash. & Jeff.       | D3  |  7.69 | Otterbein            | D3  | 12.04
 2016-04-02 | home    | Wells               | D3  |  9.16 | Cazenovia            | D3  | 14.83
 2016-03-30 | home    | Wells               | D3  |  7.99 | Hilbert              | D3  | 11.21
 2016-03-29 | home    | Wentworth           | D3  |  8.13 | Roger Williams       | D3  | 12.11
 2016-03-30 | home    | Wesleyan (CT)       | D3  | 24.36 | Western Conn. St.    | D3  |  4.61
 2016-04-02 | home    | Western Conn. St.   | D3  |  8.20 | Salem St.            | D3  | 14.39
 2016-03-29 | home    | Western Conn. St.   | D3  |  7.63 | Merchant Marine      | D3  | 19.77
 2016-04-02 | home    | Western New Eng.    | D3  | 15.61 | Wentworth            | D3  |  7.18
 2016-03-29 | home    | Western New Eng.    | D3  | 13.30 | Tufts                | D3  | 12.51
 2016-04-02 | home    | Westminster (PA)    | D3  |  6.67 | Saint Vincent        | D3  |  6.97
 2016-04-01 | neutral | Whittier            | D3  | 22.22 | Dallas               | D3  |  3.64
 2016-04-02 | home    | Widener             | D3  | 13.14 | Hood                 | D3  |  7.52
 2016-04-02 | home    | Wilkes              | D3  |  9.03 | Alvernia             | D3  | 11.02
 2016-04-02 | home    | Wingate             | D2  | 11.37 | Catawba              | D2  |  8.11
 2016-03-30 | home    | Wingate             | D2  | 10.70 | Queens (NC)          | D2  | 11.52
 2016-04-02 | home    | Wittenberg          | D3  |  6.94 | Denison              | D3  | 12.46
 2016-04-01 | home    | Wooster             | D3  | 13.60 | Oberlin              | D3  |  8.64
 2016-04-02 | home    | Yale                | D1  | 12.23 | Penn                 | D1  |  7.37
 2016-03-30 | home    | York (PA)           | D3  | 15.03 | St. Mary's (MD)      | D3  |  5.75
(263 rows)

COPY 263
COMMIT
