year	year_id	team_id	team_name	position	player_id	player_name	player_url	class_year	gp	gs	g	gs2	goals	assists	points	shots	shot_pct	sog	sog_pct	gwg	man-up_g	man-down_g	gb	to	ct	fo_won	fos_taken	fo_pct	pen	pen_time	ggp	ggs	g_min	goals_allowed	gaa	saves	save_pct	rc	yc	clears	att	clear_pct
2015	12121	934	Alderson Broaddus	14	1426749	McCullough, Josh	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1426749	Jr	4	0	4					1							5	3							4		4,445	16	12.958	8	0.333					
2015	12121	934	Alderson Broaddus	13	1670076	Hamilton, William	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1670076	N/A	3	0	3												1																			
2015	12121	934	Alderson Broaddus	1	1671942	Weddell, Jake	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1671942	N/A	2	0	2													1																		
2015	12121	934	Alderson Broaddus	16	1426751	Stan, Lucas	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1426751	Jr	1	0	1					1		1	1.000																							
2015	12121	22	American Int'l	28	1553456	Overdahl, Eric	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1553456	So	15	10	15	10	13	4	17	40	0.325	27	0.675		4		16	33	5				5	390												
2015	12121	22	American Int'l	23	1312818	Booker, Perry	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1312818	Sr	15	15	15	15											31	16	6						15	13	53,068	215	14.585	219	0.505					
2015	12121	22	American Int'l	34	1312819	Bordeaux, Casey	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1312819	Sr	15	15	15	15		1		4		2	0.500				34	12	10				7	330												
2015	12121	22	American Int'l	9	1312824	Sheehan, Andrew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1312824	Sr	15	15	15	15		1		4		1	0.250				41	15	8	1	1	1.000	3	180												
2015	12121	22	American Int'l	7	1432000	Spano, Bobby	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1432000	Sr	15	12	15	12	20	2	22	52	0.385	34	0.654		2		19	14	7				2	90												
2015	12121	22	American Int'l	18	1432005	Gagnon, Josh	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1432005	Jr	15	14	15	14	1			1	1.000	1	1.000				30	18	15				8	450												
2015	12121	22	American Int'l	11	1432008	Palmieri, Michael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1432008	Jr	15	14	15	14	1	1	2	2	0.500	2	1.000				58	5		135	356	0.379	8	270												
2015	12121	22	American Int'l	20	1432017	Sienkiewicz, Jeff	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1432017	Sr	15	4	15	4	8	5	13	26	0.308	13	0.500		5		11	10	3				7	360												
2015	12121	22	American Int'l	29	1553457	Papineau, Kevin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1553457	So	15	0	15		7	2	9	29	0.241	18	0.621				6	21	1																	
2015	12121	22	American Int'l	40	1553458	Magliano, John	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1553458	So	15	6	15	6	12	6	18	44	0.273	24	0.545	1	2		13	22																		
2015	12121	22	American Int'l	1	1663616	Gryszko, Dan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1663616	Sr	15	14	15	14	3	1	4	17	0.176	10	0.588				38	13	26				4	210												
