year	year_id	team_id	team_name	position	player_name	class_year	gp	gs	g	gs2	goals	assists	points	shots	shot_pct	sog	sog_pct	gwg	man-up_g	man-down_g	gb	to	ct	fo_won	fos_taken	fo_pct	pen	pen_time	ggp	ggs	g_min	goals_allowed	gaa	saves	save_pct	rc	yc	clears	att	clear_pct
2015	12121	220	Fairfield	-	Totals	-	-	-	15		144	79	223	515	0.280	298	0.579	9	16	1	427	220	91	173	308	0.562	26	1,470			54,479	112	7.401	157	0.584			203	242	0.839
2015	12121	220	Fairfield	-	Opponent Totals	-	-	-	15		112	67	179	460	0.243	269	0.585	6	9		364	199	95	135	308	0.438	55	2,430			54,479	144	9.516	154	0.517			200	249	0.803
2015	12121	244	Furman	-	TEAM	-	-	-	8													6	1				1	60												
2015	12121	244	Furman	-	Totals	-	-	-	13		94	48	142	445	0.211	236	0.530	4	9	3	282	190	87	107	255	0.420	41	2,010			47,006	120	9.190	159	0.570			233	265	0.879
2015	12121	244	Furman	-	Opponent Totals	-	-	-	13		120	61	181	501	0.240	279	0.557	9	10		374	179	105	148	255	0.580	53	2,250			47,006	94	7.199	142	0.602			225	254	0.886
2015	12121	251	Georgetown	-	TEAM	-	-	-	7													12	2						1			0		1	1.000					
2015	12121	251	Georgetown	-	Totals	-	-	-	16		186	98	284	623	0.299	367	0.589	10	23		484	197	114	186	414	0.449	56	2,490			57,592	174	10.877	211	0.548			240	285	0.842
2015	12121	251	Georgetown	-	Opponent Totals	-	-	-	16		174	95	269	626	0.278	385	0.615	6	24	1	485	195	110	228	414	0.551	62	2,910			57,592	186	11.627	181	0.493			218	254	0.858
2015	12121	272	Hartford	-	TEAM	-	-	-	6													9					1	30												
2015	12121	272	Hartford	-	Totals	-	-	-	15		147	90	237	513	0.287	293	0.571	7	11	2	479	246	110	196	367	0.534	65	3,390			55,044	166	10.857	179	0.519			232	285	0.814
2015	12121	272	Hartford	-	Opponent Totals	-	-	-	15		166	108	274	550	0.302	345	0.627	8	28	2	477	221	122	171	367	0.466	51	2,550			55,044	147	9.614	146	0.498			247	284	0.870
2015	12121	275	Harvard	-	TEAM	-	-	-	5													5					1	30												
2015	12121	275	Harvard	-	Totals	-	-	-	14		172	94	266	545	0.316	355	0.651	7	19	2	433	222	125	165	388	0.425	68	3,360			50,859	172	12.175	185	0.518			219	262	0.836
2015	12121	275	Harvard	-	Opponent Totals	-	-	-	14		172	95	267	572	0.301	357	0.624	7	23	2	482	243	116	223	388	0.575	60	2,730			50,859	172	12.175	183	0.515			203	239	0.849
